id,nombre,apellido,edad,equipo_id,pais_id
1,Carr,Cordey,32,6,1
2,Vanessa,Oakes,23,14,6
3,Bibi,Matiashvili,32,6,3
4,Franciska,Harbottle,21,16,17
5,Maura,Gleave,18,17,20
6,Veronike,Mably,25,5,6
7,Michaeline,Louedey,23,4,1
8,Trudey,Lockhart,28,7,13
9,Honoria,Moses,27,5,17
10,Bellanca,Robun,34,2,11
11,Candida,Trassler,17,18,11
12,Dugald,O'Dulchonta,22,17,19
13,Klemens,Quemby,11,18,11
14,Christoffer,Caseley,22,17,11
15,Aeriell,Harbour,21,5,16
16,Arlen,Cosby,33,8,23
17,Zachariah,Savil,32,6,21
18,Sabine,Scardifeild,26,2,25
19,Ninetta,Fidgeon,23,15,12
20,Tressa,Drissell,11,15,20
21,Tuckie,Penvarden,18,19,21
22,Leslie,Brammer,29,4,19
23,Philippine,Seagrave,16,4,15
24,Sibyl,Blakeston,28,10,13
25,Esme,Brakewell,31,2,17
26,Cordelie,Willden,36,12,1
27,Danya,MacCurtain,34,10,16
28,Janith,Meriott,10,4,8
29,Christy,Moral,24,10,23
30,Shir,Pitkaithly,34,13,22
31,Corene,Chappelle,26,16,5
32,Dacie,Wardhaugh,39,18,15
33,Roanne,Klisch,21,17,24
34,Calida,Ambrosini,32,3,1
35,Cad,Griffe,38,2,14
36,Rayshell,Pykerman,33,18,7
37,Cobby,Bernardo,38,16,14
38,Dov,Megarrell,15,18,11
39,Irene,Du Hamel,36,19,6
40,Major,Burhill,22,2,10
41,Anissa,Kellegher,20,10,18
42,Dill,Sisneros,35,6,17
43,Stearne,Klesl,28,10,25
44,Magdalene,Steels,19,2,25
45,Niels,Stoney,11,14,3
46,Dalli,Lorinez,11,13,13
47,Brose,Keiley,22,14,1
48,Ara,Jamary,13,11,22
49,Carlyn,Weale,13,10,9
50,Yancey,Foyster,28,16,18
51,Rayshell,Bootes,14,11,4
52,De witt,Strase,29,10,2
53,Gigi,Sarl,31,4,11
54,Hamid,Loos,33,16,9
55,Tarrah,Vonderdell,32,13,24
56,Lenore,Oloman,29,16,23
57,Vincenz,Mathie,13,15,21
58,Saree,Stocker,27,4,8
59,Sherilyn,Dinnis,17,9,17
60,See,Priditt,33,11,17
61,Silva,Urridge,31,14,5
62,Reynold,Preon,27,8,14
63,Grange,Caley,24,5,4
64,Creigh,Chrystal,39,8,11
65,Isaiah,Wayte,12,2,5
66,Trixi,Brookwell,27,11,9
67,Etienne,Lukock,17,15,5
68,Melissa,McMillian,21,18,8
69,Rowland,Frensche,14,1,7
70,Gerri,Stephens,33,8,14
71,Stephanus,de Grey,20,4,4
72,Devora,Melburg,28,7,11
73,Cyrillus,Prestidge,30,8,21
74,Somerset,Lemmers,13,18,25
75,Dulcinea,Frantsev,14,2,9
76,Arleta,Vittle,11,14,22
77,Craig,Williment,34,6,17
78,Sondra,Bickerstasse,11,7,6
79,Harriette,Abbatini,29,14,6
80,Shea,Loynton,39,4,13
81,Amalea,Merriday,14,9,2
82,Manny,Knowlden,26,9,22
83,Robyn,Lean,18,16,20
84,Kerri,Reeder,25,8,9
85,Easter,Peare,12,20,12
86,Cathrine,Burhouse,12,12,15
87,Marne,Boase,33,20,9
88,Aguistin,Edgecumbe,19,19,14
89,Batsheva,Beadel,18,13,17
90,Estel,Pezey,17,5,22
91,Freedman,Lewzey,19,19,18
92,Blisse,Jacobsohn,39,6,23
93,Janey,Thiem,34,7,11
94,Martyn,Dallan,38,2,16
95,Kalie,Crowche,28,12,1
96,Hallie,Sarath,39,9,12
97,Aubrie,Hallwood,18,13,23
98,Golda,Jancik,23,14,4
99,Edsel,Ryding,16,13,6
100,Mart,Samples,25,15,6
