codigo,nombre,direccion,telefono,fecha_nacimiento,genero
1,Warde Caldayrou,7164 Westerfield Hill,710-701-9600,1960-02-18,Male
2,Trudey Meese,8 Heath Court,584-597-1787,1989-07-12,Female
3,Darby Marchenko,34172 Sycamore Drive,457-709-5619,2010-04-14,Female
4,Hayyim Lattka,24 Oak Valley Street,253-247-8990,2001-08-07,Male
5,Boycie Meriton,6 Superior Parkway,203-901-0713,1961-02-11,Male
6,Konstance Readwing,98278 Vermont Drive,463-787-3140,1979-04-29,Female
7,Aundrea Nelane,0 Saint Paul Parkway,654-670-6792,1969-08-12,Female
8,Ario Canto,7 Portage Drive,487-734-8957,1978-05-06,Male
9,Rowan O'Cahsedy,9396 Anniversary Hill,311-345-9895,1968-10-13,Male
10,Gertie Mattiussi,88 Katie Point,641-876-4622,1967-02-04,Female
11,Phaidra Van Hesteren,0 Bowman Drive,166-100-8830,2008-11-11,Female
12,Addison Keuneke,13522 New Castle Way,228-468-2158,1992-03-12,Male
13,Sayre Pareman,55 Norway Maple Parkway,787-846-9450,2013-12-21,Female
14,Chancey Pavolini,88 Ryan Road,396-527-7131,2011-03-08,Male
15,Reinold Saban,71886 Weeping Birch Point,291-541-0286,1991-02-04,Male
16,Farand Ubee,92094 Clemons Plaza,104-717-1519,2011-05-25,Female
17,Tye Pococke,4 Oak Lane,841-547-0790,1987-11-26,Male
18,Ariel Faers,2486 Packers Park,345-331-3396,2004-08-21,Female
19,Courtnay Aucourte,4952 David Court,348-498-7953,1977-07-21,Male
20,Davon Shaw,04 Calypso Place,215-758-1779,1974-10-23,Male
21,Katey Copes,4 Raven Terrace,709-297-8350,2002-12-08,Female
22,Laure Girsch,0 Forest Run Plaza,530-691-4258,1999-08-04,Female
23,Mareah Mussington,01 Sherman Alley,266-156-3528,1998-07-18,Female
24,Sander Sturgeon,53875 Village Green Trail,482-974-5334,1984-11-06,Male
25,Kennett Deason,086 Kim Trail,869-468-8463,2000-11-06,Male
26,Spencer Huxster,5525 Dorton Avenue,319-707-7967,2002-03-13,Male
27,Correy Grzeskowski,80 Summerview Trail,739-102-7390,1983-07-12,Male
28,Faunie Firminger,60234 Thackeray Parkway,262-189-2057,2007-02-03,Female
29,Hobey Andersson,7539 High Crossing Center,500-432-8715,2017-04-19,Male
30,Elia Bunten,60390 Rockefeller Way,312-156-1402,1994-08-18,Male
31,Tracy Woolmore,614 Messerschmidt Hill,385-955-4859,2012-03-12,Male
32,Ursuline Davydenko,5355 Ridgeview Street,463-422-7907,1976-01-20,Female
